run_id,message_id,device_id,payload_number,send_timestamp_ns,payload_size_bytes,published_by_client
20260618_165935_586298,20260618_165935_586298-002-01,002,1,1781776775645151000,145,1
20260618_165935_586298,20260618_165935_586298-002-02,002,2,1781776775651018500,145,1
20260618_165935_586298,20260618_165935_586298-002-03,002,3,1781776775657130600,145,1
20260618_165935_586298,20260618_165935_586298-002-04,002,4,1781776775663432000,144,1
20260618_165935_586298,20260618_165935_586298-002-05,002,5,1781776775669172700,143,1
20260618_165935_586298,20260618_165935_586298-003-01,003,1,1781776775675192900,144,1
20260618_165935_586298,20260618_165935_586298-003-02,003,2,1781776775681774600,145,1
20260618_165935_586298,20260618_165935_586298-003-03,003,3,1781776775687768200,143,1
20260618_165935_586298,20260618_165935_586298-003-04,003,4,1781776775693498200,144,1
20260618_165935_586298,20260618_165935_586298-003-05,003,5,1781776775699613800,145,1
20260618_165935_586298,20260618_165935_586298-004-01,004,1,1781776775705464500,144,1
20260618_165935_586298,20260618_165935_586298-004-02,004,2,1781776775711187600,144,1
20260618_165935_586298,20260618_165935_586298-004-03,004,3,1781776775716766400,144,1
20260618_165935_586298,20260618_165935_586298-004-04,004,4,1781776775722665700,143,1
20260618_165935_586298,20260618_165935_586298-004-05,004,5,1781776775729453200,143,1
20260618_165935_586298,20260618_165935_586298-005-01,005,1,1781776775735401100,145,1
20260618_165935_586298,20260618_165935_586298-005-02,005,2,1781776775741126400,144,1
20260618_165935_586298,20260618_165935_586298-005-03,005,3,1781776775747376300,144,1
20260618_165935_586298,20260618_165935_586298-005-04,005,4,1781776775753736300,143,1
20260618_165935_586298,20260618_165935_586298-005-05,005,5,1781776775759909200,144,1
20260618_165935_586298,20260618_165935_586298-006-01,006,1,1781776775765983200,144,1
20260618_165935_586298,20260618_165935_586298-006-02,006,2,1781776775771810100,143,1
20260618_165935_586298,20260618_165935_586298-006-03,006,3,1781776775777709200,145,1
20260618_165935_586298,20260618_165935_586298-006-04,006,4,1781776775783748200,144,1
20260618_165935_586298,20260618_165935_586298-006-05,006,5,1781776775789935500,144,1
20260618_165935_586298,20260618_165935_586298-007-01,007,1,1781776775795980100,143,1
20260618_165935_586298,20260618_165935_586298-007-02,007,2,1781776775801875500,144,1
20260618_165935_586298,20260618_165935_586298-007-03,007,3,1781776775807702600,145,1
20260618_165935_586298,20260618_165935_586298-007-04,007,4,1781776775813230900,144,1
20260618_165935_586298,20260618_165935_586298-007-05,007,5,1781776775819757900,143,1
20260618_165935_586298,20260618_165935_586298-008-01,008,1,1781776775826055100,143,1
20260618_165935_586298,20260618_165935_586298-008-02,008,2,1781776775832378200,144,1
20260618_165935_586298,20260618_165935_586298-008-03,008,3,1781776775838154200,144,1
20260618_165935_586298,20260618_165935_586298-008-04,008,4,1781776775844027800,144,1
20260618_165935_586298,20260618_165935_586298-008-05,008,5,1781776775850888300,142,1
20260618_165935_586298,20260618_165935_586298-009-01,009,1,1781776775858726000,144,1
20260618_165935_586298,20260618_165935_586298-009-02,009,2,1781776775865354800,144,1
20260618_165935_586298,20260618_165935_586298-009-03,009,3,1781776775871589300,145,1
20260618_165935_586298,20260618_165935_586298-009-04,009,4,1781776775877946800,145,1
20260618_165935_586298,20260618_165935_586298-009-05,009,5,1781776775883966500,138,1
20260618_165935_586298,20260618_165935_586298-010-01,010,1,1781776775890250400,144,1
20260618_165935_586298,20260618_165935_586298-010-02,010,2,1781776775896518900,144,1
20260618_165935_586298,20260618_165935_586298-010-03,010,3,1781776775902393100,144,1
20260618_165935_586298,20260618_165935_586298-010-04,010,4,1781776775907966200,144,1
20260618_165935_586298,20260618_165935_586298-010-05,010,5,1781776775914574100,144,1
20260618_165935_586298,20260618_165935_586298-011-01,011,1,1781776775920644900,145,1
20260618_165935_586298,20260618_165935_586298-011-02,011,2,1781776775926523800,143,1
20260618_165935_586298,20260618_165935_586298-011-03,011,3,1781776775932741300,145,1
20260618_165935_586298,20260618_165935_586298-011-04,011,4,1781776775938793200,145,1
20260618_165935_586298,20260618_165935_586298-011-05,011,5,1781776775944707200,144,1
20260618_165935_586298,20260618_165935_586298-012-01,012,1,1781776775950859600,145,1
20260618_165935_586298,20260618_165935_586298-012-02,012,2,1781776775956891500,144,1
20260618_165935_586298,20260618_165935_586298-012-03,012,3,1781776775963098700,145,1
20260618_165935_586298,20260618_165935_586298-012-04,012,4,1781776775969561400,143,1
20260618_165935_586298,20260618_165935_586298-012-05,012,5,1781776775975849200,144,1
20260618_165935_586298,20260618_165935_586298-013-01,013,1,1781776775982192600,144,1
20260618_165935_586298,20260618_165935_586298-013-02,013,2,1781776775988865800,144,1
20260618_165935_586298,20260618_165935_586298-013-03,013,3,1781776775995410900,143,1
20260618_165935_586298,20260618_165935_586298-013-04,013,4,1781776776001856800,143,1
20260618_165935_586298,20260618_165935_586298-013-05,013,5,1781776776007858600,145,1
